Sr. No.,EmpID,Attendance Code,FName,Branch Code,Department Name,Division Name,Grade Code,Designation Name,Direct/Indirect,Roster,Attendance Date,In Time,Out Time,Total Hours,OT Hours,Late Hours,Application Status,Final Status,Attendance Type
1522,37514,37514,Daniel Bennett,P005,HR,Manufacturing,C1,DM,t,Weekend,26/02/2025,09:35 PM,09:48 PM,8.55,0.72,0.75,,Absent,Full Day
1523,43969,43969,Melissa Donovan,P002,IT,Manufacturing,C5,Engineer,t,Weekend,16/03/2025,02:05 PM,11:33 AM,7.06,0.6,0.3,,Absent,Half Day
1524,31158,31158,Eric Mooney,P005,HR,Accounting,C3,DM,t,Weekend,13/03/2025,05:17 PM,05:46 AM,8.91,1.74,0.51,,Present,Half Day
1525,35608,35608,Ashley Cummings,P002,Production,Manufacturing,C3,Engineer,t,Weekend,02/03/2025,05:44 PM,02:38 AM,8.49,0.19,0.32,,Leave,Leave
1526,34869,34869,Wayne Miller,P003,Finance,Manufacturing,C2,Supervisor,t,Weekend,19/03/2025,08:05 AM,06:53 PM,6.16,1.89,0.83,,Absent,Leave
1527,42180,42180,Elizabeth Jones,P005,HR,Warranty,C5,DM,t,Weekend,02/03/2025,05:39 PM,01:49 AM,7.3,1.33,0.77,,Absent,Full Day
1528,37991,37991,Renee Lee,P001,Quality,Warranty,C4,Manager,t,Working Day (G),01/03/2025,11:19 PM,08:11 PM,6.95,0.1,0.19,,Present,Half Day
1529,37277,37277,Gina Woods,P002,Finance,Manufacturing,C3,Engineer,t,Working Day (G),24/03/2025,10:32 AM,10:59 AM,6.18,0.82,0.3,,Leave,Half Day
1530,48073,48073,Katie Wade,P003,Production,Manufacturing,C5,Executive,t,Weekend,05/03/2025,07:40 PM,03:32 AM,6.85,1.67,0.49,,Absent Half Day,Half Day
1531,47616,47616,Kathy Rocha,P002,Production,Support,C3,DM,t,Working Day (G),17/03/2025,06:38 AM,12:07 AM,6.1,0.79,0.5,,Present,Half Day
1532,49648,49648,Russell Murphy,P003,Production,Support,C5,Manager,t,Holiday,05/03/2025,12:31 PM,06:57 AM,8.22,1.87,0.62,,Present,Half Day
1533,38445,38445,Dana Evans,P001,Quality,Recruitment,C5,Engineer,t,Working Day (G),16/03/2025,02:41 PM,09:19 PM,7.81,2.0,0.62,,Present,Leave
1534,42096,42096,Jon Mosley,P003,Finance,Support,C4,Manager,t,Working Day (G),25/02/2025,10:49 PM,11:17 PM,6.66,0.33,0.32,,Present,Full Day
1535,31504,31504,Melissa Maddox,P002,HR,Accounting,C5,Supervisor,t,Working Day (G),13/03/2025,02:46 PM,05:28 PM,6.46,0.96,0.23,,Leave,Leave
1536,41982,41982,Calvin Lopez,P003,IT,Manufacturing,C2,DM,t,Working Day (G),24/02/2025,09:16 AM,11:16 AM,7.81,0.65,0.35,,Absent Half Day,Full Day
1537,45199,45199,Eric Tyler,P003,Finance,Recruitment,C5,DM,t,Holiday,13/03/2025,03:56 PM,11:57 AM,8.7,1.09,0.64,,Present,Full Day
1538,42317,42317,Preston Dean,P004,HR,Warranty,C3,Supervisor,t,Working Day (G),10/03/2025,05:26 PM,08:56 AM,8.68,0.57,0.36,,Absent Half Day,Half Day
1539,36260,36260,Karen Ferguson,P004,Finance,Warranty,C3,Engineer,t,Weekend,10/03/2025,05:50 AM,01:01 PM,6.98,1.28,0.83,,Present,Leave
1540,48078,48078,Taylor Patton,P005,Finance,Warranty,C3,Manager,t,Working Day (G),15/03/2025,10:58 AM,12:50 AM,7.32,0.68,0.24,,Absent Half Day,Full Day
1541,33889,33889,Laura Torres,P004,Production,Recruitment,C4,Executive,t,Holiday,26/02/2025,05:33 PM,07:41 AM,6.06,0.73,0.81,,Absent,Full Day
1542,48216,48216,Connie Mills,P005,IT,Recruitment,C3,Engineer,t,Working Day (G),15/03/2025,11:26 PM,06:03 AM,6.77,1.5,0.65,,Leave,Half Day
1543,45525,45525,Peggy Chang,P001,Finance,Support,C1,Supervisor,t,Working Day (G),21/03/2025,10:03 PM,09:12 AM,7.7,0.54,0.64,,Present,Leave
1544,46365,46365,Margaret Glover,P002,Production,Manufacturing,C1,Supervisor,t,Working Day (G),10/03/2025,01:14 PM,05:48 AM,6.58,1.01,0.96,,Absent Half Day,Leave
1545,41930,41930,Hunter Bailey,P004,HR,Support,C2,Manager,t,Working Day (G),09/03/2025,11:22 AM,05:24 AM,8.53,0.69,1.0,,Leave,Full Day
1546,35924,35924,Shelby Fleming,P004,HR,Accounting,C3,Engineer,t,Weekend,25/03/2025,12:46 PM,08:35 AM,8.96,0.51,0.7,,Absent Half Day,Half Day
1547,49730,49730,Valerie Smith,P003,Production,Accounting,C2,Engineer,t,Working Day (G),21/03/2025,02:41 PM,02:10 AM,6.86,0.39,0.6,,Present,Leave
1548,34247,34247,Dana Thompson,P001,Quality,Manufacturing,C4,Supervisor,t,Working Day (G),07/03/2025,12:10 PM,03:10 PM,8.14,0.84,0.82,,Absent Half Day,Half Day
1549,49312,49312,Toni Gibson,P003,Quality,Support,C5,Supervisor,t,Weekend,25/02/2025,02:34 AM,04:13 AM,8.9,1.55,0.06,,Absent Half Day,Full Day
1550,30213,30213,Howard Esparza,P005,Quality,Support,C3,Engineer,t,Working Day (G),22/03/2025,06:15 PM,07:04 PM,6.19,1.1,0.15,,Absent,Leave
1551,37166,37166,Scott Dickerson,P005,IT,Recruitment,C4,Manager,t,Weekend,01/03/2025,12:21 AM,01:01 AM,8.04,0.48,0.02,,Absent,Full Day
1552,47853,47853,Michele Lawrence,P001,IT,Accounting,C5,Engineer,t,Holiday,13/03/2025,06:11 PM,07:31 PM,7.05,1.61,0.22,,Present,Leave
1553,45313,45313,Paula Thomas,P002,HR,Recruitment,C2,Manager,t,Weekend,25/03/2025,01:52 AM,10:01 PM,7.84,1.21,0.28,,Absent Half Day,Leave
1554,41951,41951,Richard Lopez,P003,HR,Warranty,C3,DM,t,Holiday,07/03/2025,12:20 PM,08:31 PM,7.22,0.55,0.96,,Absent,Full Day
1555,49220,49220,Heidi Davis,P005,Production,Warranty,C5,Manager,t,Holiday,28/02/2025,02:27 PM,09:33 AM,7.82,0.47,0.4,,Absent,Leave
1556,38703,38703,Jose Jackson,P002,Finance,Accounting,C4,DM,t,Weekend,11/03/2025,04:51 AM,03:39 PM,8.91,0.4,0.98,,Absent,Full Day
1557,31402,31402,Michael Brown,P002,Finance,Support,C4,DM,t,Working Day (G),21/03/2025,07:44 AM,07:10 AM,6.66,1.07,0.21,,Absent Half Day,Full Day
1558,47639,47639,Mark Joseph,P003,HR,Accounting,C3,Manager,t,Holiday,17/03/2025,05:32 PM,07:57 AM,6.58,0.4,0.34,,Leave,Half Day
1559,46232,46232,Peter Taylor,P001,Finance,Accounting,C5,DM,t,Holiday,04/03/2025,01:17 AM,12:51 AM,7.99,1.49,0.12,,Absent,Leave
1560,31746,31746,Robert Reid,P005,Quality,Manufacturing,C4,Executive,t,Working Day (G),18/03/2025,01:33 PM,07:42 AM,7.88,1.86,0.36,,Absent Half Day,Leave
1561,45023,45023,Jason Grant,P004,HR,Recruitment,C1,Engineer,t,Holiday,12/03/2025,01:21 AM,09:06 PM,7.9,0.74,0.11,,Absent Half Day,Full Day
1562,36022,36022,Ian Garcia,P005,HR,Accounting,C1,Manager,t,Weekend,10/03/2025,12:25 PM,04:10 PM,7.4,0.25,0.16,,Leave,Leave
1563,34993,34993,Nancy Hall,P005,Finance,Recruitment,C4,DM,t,Working Day (G),26/02/2025,08:11 AM,07:12 PM,6.67,0.29,0.06,,Present,Full Day
1564,46341,46341,Michelle Washington,P004,IT,Manufacturing,C2,Executive,t,Weekend,16/03/2025,03:58 PM,05:15 AM,8.14,0.09,0.52,,Absent Half Day,Full Day
1565,48434,48434,Brian Jones,P003,Finance,Support,C5,DM,t,Working Day (G),24/03/2025,01:24 AM,07:23 PM,8.83,1.94,0.24,,Absent Half Day,Leave
1566,43374,43374,Alyssa Jensen,P003,Quality,Accounting,C5,Executive,t,Weekend,23/03/2025,09:02 PM,06:42 AM,8.93,1.33,0.15,,Present,Half Day
1567,48979,48979,Diane Nelson,P002,IT,Warranty,C2,DM,t,Holiday,22/03/2025,07:41 AM,08:59 PM,8.64,1.68,0.54,,Absent,Full Day
1568,35883,35883,Barbara Harrell,P005,Quality,Accounting,C4,Manager,t,Holiday,25/03/2025,10:26 AM,03:51 AM,8.2,0.24,0.64,,Present,Leave
1569,37660,37660,Nathan Collins,P005,Quality,Accounting,C4,Supervisor,t,Holiday,26/02/2025,07:48 AM,08:43 AM,8.45,1.73,0.47,,Absent Half Day,Full Day
1570,34879,34879,Ruth Cannon,P001,Production,Warranty,C5,Engineer,t,Holiday,17/03/2025,09:37 PM,07:58 PM,8.14,0.14,0.2,,Absent,Full Day
1571,48818,48818,Andrea George,P003,IT,Accounting,C2,Manager,t,Weekend,26/02/2025,03:49 PM,10:01 PM,8.32,1.67,0.1,,Leave,Leave
1572,37462,37462,Bobby Welch,P002,HR,Recruitment,C5,Engineer,t,Holiday,16/03/2025,08:37 AM,04:08 AM,6.02,0.04,0.28,,Present,Full Day
1573,34164,34164,Jennifer Gibbs,P005,HR,Manufacturing,C2,DM,t,Working Day (G),18/03/2025,12:25 PM,07:11 AM,7.34,1.46,0.81,,Absent Half Day,Half Day
1574,32803,32803,Victor Lowe,P005,IT,Warranty,C3,Executive,t,Working Day (G),18/03/2025,07:56 PM,08:28 AM,6.75,0.72,0.73,,Absent Half Day,Leave
1575,38681,38681,Gina Diaz,P002,Finance,Warranty,C5,Supervisor,t,Weekend,14/03/2025,11:53 AM,08:25 AM,7.05,0.31,0.58,,Leave,Full Day
1576,45771,45771,Dale Miller,P004,IT,Support,C3,Executive,t,Holiday,14/03/2025,12:04 AM,02:13 AM,7.25,0.11,0.79,,Present,Full Day
1577,38835,38835,Todd Greene,P005,IT,Support,C2,Executive,t,Weekend,18/03/2025,12:20 AM,02:07 PM,6.75,1.12,0.22,,Absent Half Day,Half Day
1578,41411,41411,Zachary Hammond,P005,HR,Support,C4,Manager,t,Holiday,25/03/2025,11:03 PM,02:31 AM,7.43,1.52,0.2,,Absent Half Day,Full Day
1579,34038,34038,Ryan Yates,P003,Production,Warranty,C4,Supervisor,t,Holiday,01/03/2025,07:35 AM,05:06 PM,6.44,1.91,0.78,,Absent,Leave
1580,48617,48617,Ronald Simpson,P003,HR,Support,C3,Supervisor,t,Working Day (G),05/03/2025,12:53 AM,12:14 AM,8.55,0.72,0.57,,Absent,Half Day
1581,43440,43440,Tara House,P001,Finance,Warranty,C3,DM,t,Weekend,13/03/2025,12:52 AM,10:07 PM,6.58,1.87,0.95,,Absent,Full Day
1582,45356,45356,David Bennett,P002,Finance,Support,C5,Supervisor,t,Holiday,17/03/2025,02:01 AM,04:37 AM,8.04,1.46,0.14,,Leave,Full Day
1583,46198,46198,Lisa Perry,P003,IT,Manufacturing,C5,Supervisor,t,Holiday,05/03/2025,06:22 PM,05:38 PM,8.27,1.44,0.05,,Absent Half Day,Full Day
1584,33791,33791,Leroy Shannon,P004,Production,Warranty,C1,Executive,t,Weekend,15/03/2025,05:52 AM,04:24 AM,6.24,0.69,0.67,,Present,Leave
1585,47827,47827,Ethan Small,P001,IT,Recruitment,C2,Executive,t,Weekend,01/03/2025,07:11 AM,02:11 PM,7.36,1.58,0.62,,Absent,Full Day
1586,45200,45200,Carrie Skinner,P002,Quality,Accounting,C2,DM,t,Holiday,21/03/2025,01:40 PM,08:34 PM,6.97,1.55,0.18,,Leave,Leave
1587,45612,45612,James Gibson,P002,HR,Manufacturing,C1,Supervisor,t,Holiday,24/03/2025,04:00 PM,04:29 PM,6.54,2.0,0.69,,Leave,Full Day
1588,30918,30918,Joshua Adams,P002,Quality,Recruitment,C3,Engineer,t,Holiday,21/03/2025,01:52 AM,07:35 PM,7.88,0.56,0.73,,Present,Leave
1589,42614,42614,Jenna Alexander,P003,IT,Accounting,C2,DM,t,Holiday,15/03/2025,08:58 AM,03:56 PM,8.32,0.2,0.01,,Absent Half Day,Half Day
1590,46645,46645,Christine Sutton,P001,Quality,Accounting,C5,Manager,t,Weekend,02/03/2025,06:05 PM,07:31 PM,8.75,1.88,0.22,,Leave,Half Day
1591,39986,39986,Donald Mcintosh,P001,Quality,Recruitment,C1,Engineer,t,Holiday,05/03/2025,07:50 AM,06:55 AM,8.96,1.71,0.27,,Present,Half Day
1592,40181,40181,Kimberly Brown,P004,Finance,Manufacturing,C5,DM,t,Holiday,04/03/2025,08:14 PM,03:36 AM,8.34,0.37,0.29,,Present,Full Day
1593,32154,32154,Pamela Stevens,P001,HR,Warranty,C2,Engineer,t,Holiday,26/02/2025,07:15 AM,04:00 PM,6.96,1.5,0.52,,Absent Half Day,Half Day
1594,39637,39637,Kayla Cruz,P005,Quality,Warranty,C1,Supervisor,t,Working Day (G),12/03/2025,03:51 AM,12:48 PM,6.2,1.18,0.41,,Absent,Leave
1595,43298,43298,Alec Harrison,P005,Production,Warranty,C3,DM,t,Holiday,19/03/2025,03:49 PM,01:40 PM,6.73,0.88,0.42,,Leave,Half Day
1596,32419,32419,Theresa Richardson,P002,HR,Recruitment,C1,DM,t,Working Day (G),20/03/2025,07:18 AM,07:49 PM,6.98,0.27,0.25,,Leave,Full Day
1597,40118,40118,Karen Schultz,P002,Production,Accounting,C3,DM,t,Weekend,24/03/2025,07:13 AM,01:26 PM,8.32,1.65,0.9,,Present,Leave
1598,47732,47732,Maria Lucero,P001,Quality,Support,C4,Executive,t,Holiday,20/03/2025,08:08 PM,04:42 PM,6.36,1.78,0.99,,Absent Half Day,Full Day
1599,37879,37879,Jennifer Johns,P004,Production,Support,C5,Executive,t,Weekend,05/03/2025,04:52 AM,09:18 PM,7.15,1.0,0.73,,Absent Half Day,Full Day
1600,37316,37316,Dean Townsend,P001,HR,Recruitment,C4,Engineer,t,Holiday,27/02/2025,06:46 PM,08:23 AM,7.38,1.67,0.31,,Leave,Full Day
1601,43208,43208,Julia Taylor,P004,IT,Warranty,C2,DM,t,Holiday,01/03/2025,06:16 AM,04:52 AM,6.06,0.43,0.98,,Present,Half Day
1602,47800,47800,Suzanne Duran,P002,Finance,Warranty,C5,Executive,t,Holiday,22/03/2025,05:26 AM,02:42 AM,7.85,0.48,0.49,,Absent,Full Day
1603,38363,38363,Keith Pham,P002,Production,Manufacturing,C3,Manager,t,Working Day (G),02/03/2025,05:09 AM,07:04 AM,6.86,0.4,0.5,,Absent Half Day,Leave
1604,39378,39378,Brianna Kramer,P002,Production,Warranty,C5,Supervisor,t,Working Day (G),22/03/2025,02:15 PM,10:32 PM,6.56,1.65,0.0,,Leave,Leave
1605,45258,45258,Lisa Gallagher,P004,IT,Recruitment,C1,Engineer,t,Holiday,26/02/2025,10:22 PM,10:52 PM,8.67,1.12,0.85,,Absent Half Day,Full Day
1606,41059,41059,Karen Wilkinson,P002,Quality,Warranty,C2,Executive,t,Weekend,06/03/2025,05:51 PM,07:28 AM,8.28,1.47,0.11,,Absent,Half Day
1607,32508,32508,James Taylor,P003,IT,Support,C4,Executive,t,Weekend,11/03/2025,12:11 AM,09:49 AM,6.84,1.88,0.48,,Leave,Half Day
1608,40831,40831,Abigail Marshall,P001,HR,Accounting,C2,Executive,t,Weekend,24/03/2025,08:53 PM,12:19 AM,8.19,1.84,0.57,,Leave,Leave
1609,46353,46353,Matthew Hays,P004,Finance,Manufacturing,C3,Supervisor,t,Weekend,25/02/2025,12:23 AM,04:55 PM,8.21,1.57,0.75,,Leave,Leave
1610,39668,39668,Elizabeth Hester,P005,Quality,Manufacturing,C5,Manager,t,Weekend,19/03/2025,12:53 PM,04:23 PM,8.37,1.09,0.31,,Present,Half Day
1611,46780,46780,Tracey Smith,P002,IT,Warranty,C5,Executive,t,Weekend,17/03/2025,12:34 PM,06:31 PM,7.75,0.01,0.23,,Present,Half Day
1612,45214,45214,Kristen Harvey,P005,Quality,Manufacturing,C4,Executive,t,Working Day (G),01/03/2025,07:17 PM,02:25 AM,6.5,1.03,0.55,,Absent,Full Day
1613,38831,38831,Elizabeth White,P004,Finance,Warranty,C2,Executive,t,Weekend,04/03/2025,04:28 AM,07:32 PM,8.43,1.18,0.23,,Absent,Full Day
1614,36985,36985,James West,P002,Production,Recruitment,C2,Supervisor,t,Weekend,09/03/2025,08:54 PM,09:48 PM,6.89,0.15,0.95,,Absent Half Day,Leave
1615,40608,40608,Aaron Turner,P003,Production,Recruitment,C5,DM,t,Working Day (G),14/03/2025,09:01 PM,01:34 AM,6.03,1.38,0.64,,Absent,Full Day
1616,39532,39532,Michael Hess,P004,Finance,Support,C2,DM,t,Weekend,18/03/2025,02:54 PM,05:35 PM,8.09,0.42,0.79,,Leave,Leave
1617,45922,45922,Dustin Warren,P001,IT,Recruitment,C3,Engineer,t,Working Day (G),04/03/2025,11:16 AM,10:58 AM,8.13,0.73,0.5,,Absent,Leave
1618,49353,49353,Richard Young,P001,Production,Accounting,C4,Manager,t,Holiday,23/03/2025,02:18 PM,03:01 AM,6.99,0.22,0.65,,Leave,Full Day
1619,37810,37810,Adam Mahoney,P005,HR,Accounting,C1,Executive,t,Working Day (G),02/03/2025,06:08 PM,05:01 PM,7.85,1.49,0.97,,Absent Half Day,Full Day
1620,40787,40787,James Ramirez,P003,IT,Support,C1,DM,t,Weekend,24/03/2025,05:53 PM,06:02 PM,7.35,1.64,0.97,,Absent,Half Day
1621,43866,43866,Andrew Allen,P004,Quality,Recruitment,C2,Executive,t,Holiday,15/03/2025,12:06 AM,12:27 AM,8.06,2.0,1.0,,Absent Half Day,Half Day
1622,36610,36610,April Franklin,P001,Quality,Warranty,C1,Executive,t,Weekend,02/03/2025,10:54 AM,03:24 AM,6.36,0.75,0.54,,Leave,Leave
1623,47996,47996,Brittney Freeman,P005,Finance,Recruitment,C4,DM,t,Working Day (G),08/03/2025,04:09 AM,11:48 PM,8.72,1.37,0.46,,Leave,Leave
1624,31851,31851,Michael Baker,P002,Quality,Support,C3,Executive,t,Weekend,28/02/2025,04:44 AM,05:14 AM,6.44,1.01,0.82,,Leave,Leave
1625,38809,38809,Isaac Sullivan,P004,Production,Recruitment,C3,Engineer,t,Weekend,13/03/2025,11:03 AM,10:57 AM,7.98,1.66,0.92,,Present,Leave
1626,37453,37453,Sara Short,P002,IT,Accounting,C5,Supervisor,t,Working Day (G),13/03/2025,01:25 AM,09:54 AM,6.16,1.62,0.89,,Leave,Full Day
1627,33505,33505,Duane Acevedo,P001,Production,Accounting,C3,DM,t,Holiday,10/03/2025,01:15 PM,12:49 PM,8.97,1.96,0.55,,Leave,Leave
1628,35592,35592,Teresa Ferguson,P001,HR,Support,C3,Manager,t,Weekend,06/03/2025,05:17 PM,01:49 AM,8.4,1.7,0.05,,Leave,Full Day
1629,31931,31931,Daniel Newman,P004,IT,Recruitment,C1,Executive,t,Weekend,08/03/2025,04:34 AM,04:15 PM,8.91,0.54,0.05,,Absent Half Day,Leave
1630,48203,48203,Melinda Blackwell,P001,Production,Recruitment,C4,Supervisor,t,Holiday,06/03/2025,03:45 AM,11:37 PM,6.32,0.58,0.59,,Present,Leave
1631,30854,30854,Mary Martinez,P004,IT,Support,C1,Manager,t,Working Day (G),18/03/2025,08:26 PM,04:43 PM,8.7,1.77,0.61,,Absent,Half Day
1632,48024,48024,Connor Hines,P004,Production,Accounting,C4,DM,t,Working Day (G),13/03/2025,12:58 PM,12:57 AM,6.41,0.87,0.58,,Absent Half Day,Leave
1633,44868,44868,Matthew Gordon,P005,Production,Manufacturing,C2,Engineer,t,Weekend,08/03/2025,03:04 PM,11:52 AM,7.21,1.6,0.59,,Absent,Half Day
1634,39857,39857,Kimberly Ortiz,P002,Production,Support,C2,Manager,t,Holiday,27/02/2025,12:41 AM,07:14 PM,6.08,1.63,0.98,,Leave,Half Day
1635,34909,34909,Cheryl Snyder,P002,IT,Support,C5,DM,t,Working Day (G),21/03/2025,09:16 AM,06:35 AM,6.17,0.48,0.87,,Absent,Half Day
1636,47781,47781,Amanda Harding,P001,Quality,Recruitment,C2,Manager,t,Weekend,24/02/2025,04:52 AM,11:25 PM,6.31,1.46,0.41,,Leave,Full Day
1637,45787,45787,Eric Yang,P001,Production,Recruitment,C2,Supervisor,t,Holiday,25/03/2025,11:05 PM,07:10 PM,7.89,0.27,0.84,,Absent,Half Day
1638,44527,44527,Nicholas Chung,P005,HR,Warranty,C5,Manager,t,Weekend,26/02/2025,10:02 AM,08:32 PM,8.47,1.17,0.79,,Present,Full Day
1639,40281,40281,Allen Valentine,P003,HR,Warranty,C5,Executive,t,Holiday,20/03/2025,06:49 AM,07:28 PM,6.12,1.7,0.44,,Absent,Half Day
1640,35648,35648,Luke Smith,P003,Quality,Support,C1,Manager,t,Weekend,15/03/2025,02:18 AM,03:36 AM,8.38,0.63,0.71,,Absent,Full Day
1641,33781,33781,Stacy Cardenas,P001,Quality,Support,C4,Executive,t,Holiday,12/03/2025,03:42 PM,07:20 AM,7.57,0.6,0.69,,Present,Half Day
1642,39914,39914,Tristan Hodge,P001,Production,Support,C1,DM,t,Working Day (G),12/03/2025,12:26 PM,11:40 PM,8.24,0.52,0.18,,Absent Half Day,Half Day
1643,32954,32954,Erin Garcia,P005,Finance,Recruitment,C3,Manager,t,Working Day (G),21/03/2025,11:38 PM,11:49 PM,7.2,1.9,0.58,,Absent Half Day,Half Day
1644,45611,45611,Ellen Mcguire,P005,Finance,Support,C3,Supervisor,t,Weekend,28/02/2025,12:22 PM,11:27 PM,8.95,1.69,0.33,,Absent,Full Day
1645,43677,43677,Jared Jones,P001,Production,Warranty,C4,Manager,t,Weekend,23/03/2025,09:44 AM,02:10 AM,8.9,1.38,0.45,,Absent,Full Day
1646,33608,33608,Cindy Mathis,P002,IT,Recruitment,C4,DM,t,Holiday,10/03/2025,01:31 PM,10:50 PM,8.97,1.95,0.55,,Absent,Leave
1647,34131,34131,Madeline Dominguez,P003,Finance,Warranty,C4,Supervisor,t,Weekend,19/03/2025,10:00 AM,03:55 PM,6.78,1.68,0.11,,Present,Full Day
1648,42243,42243,Veronica Fox,P004,IT,Warranty,C3,Manager,t,Weekend,05/03/2025,02:41 AM,06:09 AM,8.3,1.25,0.54,,Present,Leave
1649,39337,39337,Jennifer Moore,P005,Quality,Support,C5,Executive,t,Working Day (G),09/03/2025,03:58 AM,01:16 PM,8.35,0.81,0.54,,Absent Half Day,Half Day
1650,42782,42782,Christina Bailey,P003,IT,Support,C2,Executive,t,Weekend,08/03/2025,02:02 PM,04:49 PM,7.76,1.49,0.1,,Present,Full Day
1651,41707,41707,Rachael Spears,P002,IT,Warranty,C2,DM,t,Working Day (G),07/03/2025,06:52 PM,09:19 AM,6.32,1.06,0.47,,Absent Half Day,Leave
1652,40999,40999,Cody Chambers,P003,Production,Manufacturing,C1,DM,t,Working Day (G),08/03/2025,10:06 AM,11:32 AM,7.37,0.66,0.97,,Present,Half Day
1653,33021,33021,Shane Rodriguez,P003,IT,Support,C5,Supervisor,t,Weekend,18/03/2025,05:46 AM,11:07 PM,7.75,1.87,0.69,,Present,Full Day
1654,46180,46180,John Cooke,P005,Quality,Support,C1,Manager,t,Holiday,27/02/2025,02:32 PM,01:03 PM,6.07,1.6,0.45,,Present,Half Day
1655,38608,38608,Jared Huerta,P004,IT,Warranty,C5,DM,t,Holiday,19/03/2025,12:24 AM,07:09 PM,8.52,1.78,0.94,,Present,Half Day
1656,46143,46143,Sandra Ruiz,P004,Quality,Warranty,C4,Supervisor,t,Working Day (G),19/03/2025,07:06 PM,10:07 AM,8.55,0.89,0.07,,Absent,Full Day
1657,36676,36676,Johnathan Valenzuela,P004,Finance,Support,C5,Supervisor,t,Working Day (G),26/02/2025,07:47 AM,08:59 PM,7.02,0.19,0.14,,Leave,Half Day
1658,35310,35310,Cynthia Sawyer,P002,Quality,Accounting,C5,Supervisor,t,Holiday,02/03/2025,06:01 AM,04:58 PM,8.9,1.08,0.32,,Absent Half Day,Half Day
1659,38941,38941,Michael Davis,P003,HR,Accounting,C5,Engineer,t,Holiday,24/02/2025,03:09 AM,09:23 AM,8.84,1.62,0.31,,Present,Leave
1660,38839,38839,Michael Wallace,P004,HR,Accounting,C4,Engineer,t,Working Day (G),26/02/2025,04:44 PM,12:39 PM,8.98,1.29,0.5,,Absent,Full Day
1661,36484,36484,Lisa Taylor,P004,HR,Accounting,C3,Supervisor,t,Holiday,17/03/2025,09:21 PM,11:06 PM,6.28,0.33,0.04,,Absent,Leave
1662,31311,31311,Kimberly Brown,P004,Quality,Recruitment,C2,Engineer,t,Weekend,11/03/2025,03:56 PM,07:18 PM,8.04,1.06,0.83,,Absent,Full Day
1663,41772,41772,Roberto Miller,P003,HR,Accounting,C2,Engineer,t,Working Day (G),05/03/2025,10:22 AM,06:27 AM,8.38,0.7,0.79,,Absent,Full Day
1664,41404,41404,Shawn Mullins,P002,Production,Warranty,C1,DM,t,Holiday,26/02/2025,11:40 PM,06:17 AM,7.0,1.82,0.64,,Absent,Full Day
1665,38625,38625,Maria Long,P003,Finance,Support,C3,DM,t,Weekend,11/03/2025,07:22 PM,08:24 AM,8.37,1.7,0.08,,Leave,Leave
1666,37759,37759,Karen Brown,P003,HR,Manufacturing,C3,Engineer,t,Holiday,09/03/2025,07:32 PM,04:50 PM,7.63,1.1,0.29,,Absent,Full Day
1667,37503,37503,Brian Barry,P003,Finance,Recruitment,C4,Engineer,t,Working Day (G),06/03/2025,08:19 PM,01:11 PM,6.45,0.41,0.87,,Absent Half Day,Half Day
1668,31091,31091,Tamara Simon,P002,IT,Recruitment,C5,Manager,t,Weekend,02/03/2025,11:03 AM,06:36 AM,6.9,0.79,0.5,,Leave,Leave
1669,49695,49695,Beverly Swanson,P003,Finance,Support,C1,Engineer,t,Working Day (G),05/03/2025,08:33 PM,04:27 PM,7.78,1.58,0.8,,Leave,Leave
1670,43023,43023,Alan Liu,P002,Finance,Recruitment,C5,Engineer,t,Working Day (G),02/03/2025,07:44 PM,06:26 PM,7.4,1.11,0.47,,Absent,Full Day
1671,32578,32578,Lisa Rosales,P003,IT,Manufacturing,C1,Engineer,t,Holiday,04/03/2025,08:17 PM,08:19 AM,6.67,1.96,0.56,,Leave,Half Day
1672,45981,45981,Jessica Fleming,P004,HR,Manufacturing,C5,DM,t,Holiday,25/02/2025,08:06 AM,10:52 AM,7.06,1.25,0.89,,Leave,Full Day
1673,45851,45851,Kevin Blake,P004,Finance,Manufacturing,C1,Executive,t,Weekend,24/02/2025,11:40 PM,08:16 PM,7.52,1.96,0.13,,Absent,Half Day
1674,35922,35922,Brooke Dillon,P004,Production,Warranty,C4,Engineer,t,Weekend,20/03/2025,08:20 AM,02:32 AM,7.78,1.16,0.15,,Absent,Leave
1675,40570,40570,Andrew Johnson,P002,Quality,Support,C4,Engineer,t,Holiday,15/03/2025,11:34 PM,04:48 AM,7.2,0.49,0.54,,Present,Half Day
1676,32632,32632,Brittany Alvarez,P005,Finance,Support,C1,DM,t,Working Day (G),25/02/2025,02:08 PM,08:48 AM,8.35,0.22,0.31,,Absent Half Day,Half Day
1677,31694,31694,Charles Thomas,P003,HR,Warranty,C3,DM,t,Weekend,01/03/2025,02:08 PM,05:15 PM,7.82,1.7,0.51,,Present,Half Day
1678,48539,48539,David Fernandez,P005,Finance,Warranty,C1,Manager,t,Weekend,21/03/2025,10:07 PM,02:46 PM,8.37,0.76,0.89,,Present,Leave
1679,30680,30680,Katherine Drake,P004,Production,Recruitment,C2,Supervisor,t,Working Day (G),28/02/2025,02:22 PM,10:08 AM,6.11,0.68,0.64,,Leave,Half Day
1680,30368,30368,Mark Simon,P003,Finance,Warranty,C3,Manager,t,Working Day (G),05/03/2025,06:18 PM,01:16 PM,6.17,1.48,0.01,,Leave,Leave
